Provincia;Cod;Municipio;Total_Poblacion;Nacidos_ES;Nacidos_NO_ES;Total_Europa;Total_Unión_Europea;Alemania;Bulgaria;Francia;Italia;Polonia;Portugal;Reino_Unido;Rumanía;Total_Europa_No_Comunitaria;Rusia;Ucrania;Total_Africa;Argelia;Marruecos;Nigeria;Senegal;Total_América;Argentina;Bolivia;Brasil;Colombia;Cuba;Chile;Ecuador;Paraguay;Perú;Rep._Dominicana;Uruguay;Venezuela;Total_Asia;China;Pakistán;Oceanía;
Avila;05002;"Adrada,La";2619;2253;366;65;57;17;7;8;2;1;2;5;11;8;0;0;135;1;130;0;0;157;37;25;5;10;1;0;33;5;11;12;1;7;9;3;0;0
Avila;05005;"Albornos";206;205;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05007;"Aldeanueva de Santa Cruz";119;116;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;
Avila;05008;"Aldeaseca";262;247;15;6;6;0;2;0;0;0;1;0;1;0;0;0;2;0;2;0;0;7;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;
Avila;05010;"Aldehuela,La";167;162;5;3;3;0;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avila;05012;"Amavida";144;143;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05013;"Arenal,El";998;855;143;122;119;1;0;87;1;0;6;0;23;3;0;0;7;3;4;0;0;14;2;0;2;1;0;0;0;0;4;0;0;1;0;0;0;0
Avila;05014;"Arenas de San Pedro";6615;6144;471;276;260;17;26;112;7;2;3;2;86;16;2;4;37;0;31;2;1;132;23;5;12;1;5;2;13;5;3;32;1;14;24;13;3;2;
Avila;05015;"Arevalillo";86;82;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05016;"Arévalo";8123;7708;415;168;161;17;46;18;2;0;5;2;70;7;0;2;106;0;106;0;0;122;3;7;18;44;6;1;18;0;8;8;0;6;19;13;0;0;
Avila;05017;"Aveinte";84;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05018;"Avellaneda";32;30;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05019;"Ávila";58083;52596;5487;1629;1544;90;80;140;33;43;53;26;1036;85;24;23;1045;118;883;14;3;2492;107;186;82;753;58;102;235;21;337;409;39;74;315;247;5;6;
Avila;05021;"Barco de Ávila,El";2474;2261;213;131;127;2;1;3;2;1;7;5;104;4;0;0;10;0;10;0;0;64;1;0;1;10;0;1;25;0;13;0;0;4;8;7;0;0
Avila;05022;"Barraco,El";1923;1777;146;48;45;4;0;19;3;0;1;0;13;3;0;0;10;1;9;0;0;82;9;33;9;6;0;2;10;1;3;0;0;1;4;3;0;2
Avila;05023;"Barromán";184;182;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05024;"Becedas";230;226;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
Avila;05025;"Becedillas";99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05026;"Bercial de Zapardiel";211;197;14;6;6;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;
Avila;05027;"Berlanas,Las";328;302;26;19;17;0;3;0;0;0;0;0;14;2;0;0;6;0;6;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Avila;05029;"Bernuy";130;127;3;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05030;"Berrocalejo de Aragona";48;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05033;"Blascomillán";201;200;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05034;"Blasconuño de Matacabras";14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05035;"Blascosancho";109;108;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
Avila;05036;"Bohodón,El";130;127;3;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Avila;05037;"Bohoyo";283;280;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05038;"Bonilla de la Sierra";123;121;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05039;"Brabos";49;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05040;"Bularros";69;66;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05041;"Burgohondo";1208;1106;102;35;32;4;16;2;2;0;1;0;7;3;1;0;12;8;3;0;0;55;0;21;7;4;0;0;4;1;11;1;0;0;0;0;0;0;
Avila;05042;"Cabezas de Alambre";165;162;3;3;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05043;"Cabezas del Pozo";84;83;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05044;"Cabezas del Villar";283;272;11;10;10;0;0;3;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Avila;05045;"Cabizuela";96;95;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05046;"Canales";52;50;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;
Avila;05047;"Candeleda";5034;4753;281;139;130;10;0;29;2;1;4;5;72;9;1;2;13;0;8;0;0;116;5;0;8;16;4;3;2;11;1;39;10;0;13;9;4;0;
Avila;05048;"Cantiveros";120;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05049;"Cardeñosa";450;437;13;9;9;1;0;4;0;0;1;0;3;0;0;0;2;0;2;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Avila;05051;"Carrera,La";192;190;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Avila;05052;"Casas del Puerto";98;96;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05053;"Casasola";74;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05054;"Casavieja";1479;1391;88;40;40;3;0;10;0;2;4;0;17;0;0;0;13;0;13;0;0;35;1;3;0;18;0;0;2;0;0;8;0;0;0;0;0;0;
Avila;05055;"Casillas";672;619;53;5;5;0;0;0;0;1;0;0;4;0;0;0;39;0;39;0;0;8;2;0;0;0;0;0;3;0;0;2;0;1;1;0;0;0;
Avila;05056;"Castellanos de Zapardiel";97;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05057;"Cebreros";3188;2830;358;61;59;4;14;13;0;2;1;0;19;2;0;1;164;0;164;0;0;125;7;1;1;32;0;0;43;5;17;9;2;4;8;7;0;0;
Avila;05058;"Cepeda la Mora";82;81;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
Avila;05067;"Chamartín";88;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05059;"Cillán";112;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05060;"Cisla";115;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05061;"Colilla,La";321;311;10;7;7;1;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Avila;05062;"Collado de Contreras";183;181;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05063;"Collado del Mirón";33;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Avila;05064;"Constanzana";112;111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
